Annotation,Feature,Classifier,Metric Score,Performance,Classifier Time
Rain,mfcc,LinearSVC,f1,0.75,0.24
Rain,mfcc,LinearSVC,f1,0.6222222222222222,0.24
Rain,mfcc,LinearSVC,f1,0.6666666666666666,0.24
Rain,mfcc,LinearSVC,f1,0.8421052631578947,0.24
Rain,mfcc,LinearSVC,f1,0.8571428571428571,0.24
Rain,mfcc,LinearSVC,balanced_accuracy,0.8063765736179529,0.24
Rain,mfcc,LinearSVC,balanced_accuracy,0.8518062397372743,0.24
Rain,mfcc,LinearSVC,balanced_accuracy,0.7698412698412698,0.24
Rain,mfcc,LinearSVC,balanced_accuracy,0.9087301587301587,0.24
Rain,mfcc,LinearSVC,balanced_accuracy,0.9126984126984127,0.24
Rain,mfcc,LinearSVC,roc_auc,0.9376026272577997,0.24
Rain,mfcc,LinearSVC,roc_auc,0.9373289545703339,0.24
Rain,mfcc,LinearSVC,roc_auc,0.9608843537414966,0.24
Rain,mfcc,LinearSVC,roc_auc,0.959467120181406,0.24
Rain,mfcc,LinearSVC,roc_auc,0.9662698412698413,0.24
Rain,mfcc,SGDClassifier,f1,0.7599999999999999,0.11
Rain,mfcc,SGDClassifier,f1,0.7333333333333333,0.11
Rain,mfcc,SGDClassifier,f1,0.7397260273972602,0.11
Rain,mfcc,SGDClassifier,f1,0.7741935483870968,0.11
Rain,mfcc,SGDClassifier,f1,0.8135593220338982,0.11
Rain,mfcc,SGDClassifier,balanced_accuracy,0.8196496989600437,0.11
Rain,mfcc,SGDClassifier,balanced_accuracy,0.8435960591133005,0.11
Rain,mfcc,SGDClassifier,balanced_accuracy,0.9107142857142857,0.11
Rain,mfcc,SGDClassifier,balanced_accuracy,0.8888888888888888,0.11
Rain,mfcc,SGDClassifier,balanced_accuracy,0.9007936507936507,0.11
Rain,mfcc,SGDClassifier,roc_auc,0.9597701149425287,0.11
Rain,mfcc,SGDClassifier,roc_auc,0.9512862616310893,0.11
Rain,mfcc,SGDClassifier,roc_auc,0.9501133786848073,0.11
Rain,mfcc,SGDClassifier,roc_auc,0.9580498866213152,0.11
Rain,mfcc,SGDClassifier,roc_auc,0.9699546485260772,0.11
Rain,mfcc,SVC,f1,0.7619047619047619,0.15
Rain,mfcc,SVC,f1,0.7384615384615385,0.15
Rain,mfcc,SVC,f1,0.7619047619047619,0.15
Rain,mfcc,SVC,f1,0.7272727272727273,0.15
Rain,mfcc,SVC,f1,0.819672131147541,0.15
Rain,mfcc,SVC,balanced_accuracy,0.8741105637657361,0.15
Rain,mfcc,SVC,balanced_accuracy,0.8661740558292282,0.15
Rain,mfcc,SVC,balanced_accuracy,0.8849206349206349,0.15
Rain,mfcc,SVC,balanced_accuracy,0.873015873015873,0.15
Rain,mfcc,SVC,balanced_accuracy,0.9146825396825398,0.15
Rain,mfcc,SVC,roc_auc,0.9578544061302682,0.15
Rain,mfcc,SVC,roc_auc,0.9501915708812261,0.15
Rain,mfcc,SVC,roc_auc,0.9589002267573696,0.15
Rain,mfcc,SVC,roc_auc,0.9586167800453514,0.15
Rain,mfcc,SVC,roc_auc,0.9804421768707483,0.15
Rain,mfcc,LogisticRegression,f1,0.7666666666666667,0.23
Rain,mfcc,LogisticRegression,f1,0.716417910447761,0.23
Rain,mfcc,LogisticRegression,f1,0.7647058823529412,0.23
Rain,mfcc,LogisticRegression,f1,0.8253968253968255,0.23
Rain,mfcc,LogisticRegression,f1,0.8125000000000001,0.23
Rain,mfcc,LogisticRegression,balanced_accuracy,0.8648056923918993,0.23
Rain,mfcc,LogisticRegression,balanced_accuracy,0.8582375478927202,0.23
Rain,mfcc,LogisticRegression,balanced_accuracy,0.9087301587301587,0.23
Rain,mfcc,LogisticRegression,balanced_accuracy,0.9285714285714286,0.23
